Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,63.290001,64.040001,63.270000,63.980000,51.244709,42863900
2010-01-05,63.880001,64.180000,63.490002,63.759998,51.068497,55523100
2010-01-06,63.759998,64.099998,63.540001,63.700001,51.020432,59708600
2010-01-07,63.740002,64.220001,63.139999,64.169998,51.396870,56123500
2010-01-08,63.939999,64.519997,63.799999,64.519997,51.677212,48811500
2010-01-11,64.779999,64.879997,64.010002,64.260002,51.468975,51638900
2010-01-12,63.860001,64.160004,63.259998,63.560001,50.908298,45854900
2010-01-13,63.779999,64.510002,63.230000,64.379997,51.565075,39501900
2010-01-14,64.139999,64.820000,64.019997,64.620003,51.757309,41859800
2010-01-15,64.650002,64.800003,63.270000,63.680000,51.004417,68725100
2010-01-19,63.919998,64.870003,63.919998,64.849998,51.941521,46839000
2010-01-20,64.389999,64.400002,63.189999,63.910000,51.188637,62485000
2010-01-21,63.959999,64.480003,62.639999,62.860001,50.347633,98323100
2010-01-22,62.759998,63.060001,61.180000,61.730000,49.442562,83757000
2010-01-25,62.080002,62.150002,61.330002,61.799999,49.498638,62298700
2010-01-26,61.570000,62.029999,61.139999,61.189999,49.010052,58213200
2010-01-27,60.919998,61.939999,60.709999,61.840000,49.530674,72565800
2010-01-28,61.959999,61.990002,60.220001,60.779999,48.681656,93814200
2010-01-29,61.029999,61.689999,59.970001,60.110001,48.145031,79325600
2010-02-01,60.389999,60.939999,60.160000,60.820000,48.713711,60731800
2010-02-02,60.930000,61.560001,60.619999,61.490002,49.250336,71047700
2010-02-03,61.200001,61.630001,60.590000,61.080002,48.921955,50241000
2010-02-04,60.660000,60.680000,58.990002,59.040001,47.288010,99167300
2010-02-05,59.169998,59.330002,58.000000,59.270000,47.472229,106752200
2010-02-08,59.080002,59.599998,58.619999,58.680000,46.999680,61579200
2010-02-09,59.380001,59.930000,58.750000,59.490002,47.648453,91986700
2010-02-10,59.310001,59.779999,58.689999,59.630001,47.760551,55715500
2010-02-11,59.459999,60.619999,59.000000,60.580002,48.521473,51969700
2010-02-12,60.000000,61.099998,59.810001,61.020000,48.873886,65909800
2010-02-16,61.660000,62.110001,61.080002,62.049999,49.698868,50057600
2010-02-17,62.360001,62.610001,61.990002,62.470001,50.035271,50459400
2010-02-18,62.470001,63.000000,62.250000,62.980000,50.443745,43072800
2010-02-19,62.740002,63.380001,62.610001,63.060001,50.507812,56840800
2010-02-22,63.419998,63.450001,63.020000,63.250000,50.660007,45344900
2010-02-23,63.160000,63.250000,62.330002,62.509998,50.067291,58965400
2010-02-24,62.740002,63.349998,62.549999,63.040001,50.491814,50476000
2010-02-25,62.180000,63.119999,61.980000,63.060001,50.507812,51949700
2010-02-26,63.160000,63.209999,62.459999,62.799999,50.299583,60093900
2010-03-01,63.259998,64.320000,63.259998,64.260002,51.468975,70967800
2010-03-02,64.500000,65.150002,64.400002,64.750000,51.861443,55605300
2010-03-03,65.070000,65.489998,64.779999,65.120003,52.157795,56207500
2010-03-04,65.139999,65.370003,64.870003,65.290001,52.293949,47174200
2010-03-05,65.709999,66.720001,65.500000,66.620003,53.359215,52293900
2010-03-08,66.639999,66.930000,66.519997,66.739998,53.455318,46046400
2010-03-09,66.550003,67.489998,66.529999,66.980003,53.647526,70685800
2010-03-10,67.040001,67.900002,67.010002,67.550003,54.104080,73655200
2010-03-11,67.139999,67.860001,66.900002,67.750000,54.264263,59964100
2010-03-12,68.099998,68.129997,67.260002,67.720001,54.240246,61862000
2010-03-15,67.680000,67.809998,67.000000,67.489998,54.056023,49862700
2010-03-16,67.830002,68.099998,67.339996,68.070000,54.520573,52874400
2010-03-17,68.220001,68.879997,68.199997,68.470001,54.840954,53589100
2010-03-18,68.440002,68.779999,68.139999,68.260002,54.672760,71527500
2010-03-19,67.410004,68.510002,67.160004,67.410004,53.991947,80546500
2010-03-22,66.930000,68.510002,66.779999,68.360001,54.752853,56679400
2010-03-23,68.419998,69.250000,68.110001,69.230003,55.449669,61187700
2010-03-24,68.680000,68.970001,68.250000,68.269997,54.816952,59664500
2010-03-25,68.870003,69.360001,67.790001,67.839996,54.471680,66977000
2010-03-26,68.120003,68.570000,67.559998,67.809998,54.447624,58114700
2010-03-29,68.110001,68.400002,67.809998,68.180000,54.744686,38646400
2010-03-30,68.290001,68.739998,67.870003,68.389999,54.913307,35773100
2010-03-31,68.129997,68.809998,67.790001,67.800003,54.439590,59821600
2010-04-01,68.330002,68.690002,67.389999,68.430000,54.945454,58838700
2010-04-05,68.610001,69.760002,68.440002,69.709999,55.973183,52020600
2010-04-06,69.470001,70.290001,69.330002,70.120003,56.302418,50203600
2010-04-07,70.040001,70.309998,69.449997,69.900002,56.125763,71418200
2010-04-08,69.699997,70.199997,69.160004,69.830002,56.069561,54603600
2010-04-09,69.940002,70.260002,69.500000,70.250000,56.406799,53070100
2010-04-12,70.279999,70.680000,70.120003,70.540001,56.639652,49301000
2010-04-13,70.389999,70.739998,69.940002,70.699997,56.768105,42151000
2010-04-14,71.110001,72.209999,70.989998,72.209999,57.980549,62041600
2010-04-15,72.180000,72.580002,72.089996,72.430000,58.157211,55141800
2010-04-16,72.239998,72.470001,70.940002,71.459999,57.378349,93241600
2010-04-19,71.059998,71.769997,69.779999,71.110001,57.097317,85284600
2010-04-20,71.489998,72.129997,71.180000,72.080002,57.876156,50736600
2010-04-21,72.199997,72.720001,71.919998,72.580002,58.277653,60382500
2010-04-22,71.839996,73.489998,71.459999,73.349998,58.895916,79289500
2010-04-23,73.489998,74.209999,72.639999,74.129997,59.522209,66271100
2010-04-26,74.169998,74.660004,73.830002,73.849998,59.297405,62710000
