Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,89.839996,90.099998,89.580002,89.809998,55.504498,2829100
2010-01-05,90.050003,90.629997,90.000000,90.389999,55.862999,2841600
2010-01-06,90.169998,90.260002,89.120003,89.180000,55.115150,4099600
2010-01-07,89.220001,89.639999,89.120003,89.330002,55.207901,2793200
2010-01-08,89.510002,89.559998,88.760002,89.290001,55.183163,2910700
2010-01-11,88.989998,89.360001,88.769997,88.800003,54.880314,2181300
2010-01-12,90.160004,90.389999,89.839996,90.320000,55.819706,4321200
2010-01-13,89.930000,90.279999,89.220001,89.269997,55.170818,4755000
2010-01-14,89.690002,90.519997,89.540001,90.519997,55.943329,4188800
2010-01-15,91.029999,91.330002,90.980003,91.080002,56.289417,4142800
2010-01-19,90.720001,91.120003,90.419998,90.820000,56.128719,2496000
2010-01-20,91.320000,91.769997,91.269997,91.739998,56.697334,2800500
2010-01-21,91.550003,92.389999,91.459999,92.160004,56.956905,4363100
2010-01-22,92.089996,92.309998,91.769997,92.000000,56.857998,3666900
2010-01-25,91.540001,91.919998,91.489998,91.580002,56.598465,2419500
2010-01-26,92.019997,92.110001,91.309998,91.610001,56.616951,3138100
2010-01-27,91.750000,92.089996,91.370003,91.559998,56.586109,3325700
2010-01-28,91.129997,91.699997,91.059998,91.510002,56.555168,3058200
2010-01-29,91.410004,92.360001,91.250000,92.309998,57.049557,4930600
2010-02-01,91.709999,91.730003,91.050003,91.150002,56.531696,3598500
2010-02-02,91.180000,91.449997,91.040001,91.410004,56.692944,3047500
2010-02-03,90.809998,90.970001,90.269997,90.349998,56.035564,5343700
2010-02-04,90.989998,91.820000,90.900002,91.779999,56.922474,6095000
2010-02-05,91.370003,92.419998,91.209999,91.980003,57.046490,6875800
2010-02-08,91.870003,92.150002,91.650002,92.099998,57.120911,3386000
2010-02-09,91.739998,92.220001,91.139999,91.180000,56.550327,4790000
2010-02-10,91.320000,91.599998,90.199997,90.309998,56.010708,5068000
2010-02-11,90.199997,90.279999,89.379997,89.820000,55.706810,5087500
2010-02-12,90.309998,90.419998,89.949997,90.190002,55.936325,2833800
2010-02-16,89.730003,90.440002,89.730003,90.360001,56.041744,2440900
2010-02-17,89.919998,90.089996,89.080002,89.330002,55.402973,4368200
2010-02-18,89.459999,89.500000,88.510002,88.970001,55.179649,5121800
2010-02-19,89.239998,89.510002,88.900002,89.449997,55.477367,3502500
2010-02-22,89.120003,89.320000,88.919998,89.080002,55.247902,3382600
2010-02-23,89.339996,90.540001,89.300003,90.470001,56.109970,5474500
2010-02-24,90.550003,90.879997,90.180000,90.690002,56.246437,4423200
2010-02-25,91.180000,91.290001,90.900002,91.199997,56.562729,3707700
2010-02-26,91.459999,92.059998,91.410004,91.669998,56.854214,4349100
2010-03-01,91.330002,91.529999,90.959999,91.339996,56.829308,2415200
2010-03-02,90.879997,91.279999,90.699997,91.220001,56.754662,2260600
2010-03-03,91.010002,91.080002,90.699997,90.989998,56.611534,2156100
2010-03-04,90.959999,91.680000,90.830002,91.470001,56.910179,2374700
2010-03-05,90.830002,90.870003,90.120003,90.269997,56.163582,3823200
2010-03-08,89.900002,89.970001,89.699997,89.800003,55.871204,2850400
2010-03-09,89.980003,90.000000,89.400002,89.820000,55.883583,2573700
2010-03-10,89.489998,89.699997,89.190002,89.589996,55.740536,3216200
2010-03-11,89.389999,90.139999,89.370003,89.919998,55.945866,2621000
2010-03-12,89.769997,90.650002,89.730003,90.480003,56.294304,3099100
2010-03-15,90.349998,90.470001,90.050003,90.360001,56.219589,1936800
2010-03-16,90.559998,91.089996,90.540001,91.080002,56.667564,3932600
2010-03-17,91.309998,91.470001,91.070000,91.470001,56.910179,3481200
2010-03-18,91.419998,91.480003,91.010002,91.169998,56.723560,2750300
2010-03-19,91.260002,91.580002,90.870003,91.260002,56.779594,2976300
2010-03-22,91.349998,91.489998,91.220001,91.360001,56.841778,2452300
2010-03-23,91.070000,91.320000,90.910004,90.930000,56.574272,2910000
2010-03-24,89.839996,90.250000,89.059998,89.269997,55.541458,8049300
2010-03-25,89.129997,89.239998,88.370003,88.699997,55.186775,8268400
2010-03-26,88.540001,89.120003,88.489998,88.949997,55.342308,4110700
2010-03-29,88.779999,88.849998,88.309998,88.610001,55.130783,3245100
2010-03-30,88.519997,88.949997,88.269997,88.889999,55.304951,3254600
2010-03-31,89.220001,89.519997,88.949997,89.500000,55.684566,4263900
2010-04-01,88.769997,89.029999,88.430000,88.949997,55.548367,2912400
2010-04-05,87.980003,88.139999,87.410004,87.470001,54.624146,5652000
2010-04-06,87.800003,87.849998,87.349998,87.610001,54.711605,3584600
2010-04-07,87.449997,88.919998,87.300003,88.730003,55.411007,6389900
2010-04-08,88.889999,89.129997,88.480003,88.769997,55.436001,3797600
2010-04-09,88.610001,89.059998,88.410004,88.980003,55.567123,2311300
2010-04-12,89.169998,89.559998,89.089996,89.449997,55.860645,2939600
2010-04-13,89.889999,89.949997,89.519997,89.739998,56.041790,3090900
2010-04-14,89.760002,89.870003,89.110001,89.110001,55.648327,3570100
2010-04-15,88.849998,89.500000,88.680000,89.209999,55.710747,3698000
2010-04-16,89.400002,89.989998,89.239998,89.860001,56.116684,8303900
2010-04-19,89.870003,90.029999,89.519997,89.639999,55.979321,3211500
2010-04-20,89.849998,89.989998,89.639999,89.959999,56.179111,2285000
2010-04-21,90.269997,90.830002,90.260002,90.699997,56.641262,4162200
2010-04-22,90.900002,91.089996,90.330002,90.430000,56.472645,2841400
2010-04-23,90.209999,90.360001,89.870003,90.110001,56.272812,4776000
2010-04-26,90.510002,90.650002,89.940002,90.209999,56.335243,4753900
2010-04-27,90.849998,91.919998,90.699997,91.480003,57.128395,13199200
2010-04-28,91.129997,91.349998,90.480003,90.699997,56.641262,8379500
2010-04-29,90.860001,91.220001,90.519997,91.080002,56.878555,4067200
2010-04-30,91.279999,92.169998,91.110001,92.129997,57.534286,6924800
2010-05-03,91.419998,92.019997,91.279999,91.690002,57.459072,4211800
2010-05-04,92.809998,93.470001,92.559998,93.339996,58.493114,11054800
2010-05-05,94.059998,94.849998,93.349998,93.889999,58.837746,12219100
2010-05-06,94.160004,100.000000,93.779999,96.790001,60.655056,19578200
2010-05-07,95.879997,98.089996,95.269997,95.580002,59.896809,18740600
2010-05-10,93.160004,93.940002,93.089996,93.599998,58.656002,10240100
2010-05-11,93.980003,94.019997,92.989998,93.360001,58.505630,7729100
2010-05-12,93.139999,93.260002,92.610001,92.650002,58.060635,5530800
2010-05-13,93.260002,93.550003,92.199997,93.260002,58.442902,6849700
2010-05-14,94.120003,95.500000,94.089996,94.879997,59.458168,9796500
